Nombre,Categoría,Dirección,Teléfono,Web,Email,Valoración,Nº Reseñas,Nivel Precio,Tipos Google,Latitud,Longitud,Horarios,Estado,Google Maps,Place ID,Provincia,Región,País,Web válida (IA),Calidad (IA),Búsqueda
Gimnasio Body Fitness,🧘‍♀️ Centro de yoga,"Cañada de la Vizana, 44, 49600 Benavente, Zamora, Spain",980 63 12 38,https://www.bodyfitnessbenavente.com/,,4.6,125,,"establishment, gym, health, point_of_interest",42.0065811,-5.6808269,,OPERATIONAL,,ChIJw8mQxWRMOA0R9MVdlzexy-0,Zamora,Castilla y León,España,No,2,centro pilates · españa
Centro de fisioterapia Kwal Physio,🧘‍♀️ Centro de yoga,"C. Bo. Nuevo, 32, bajo, 24200 Valencia de Don Juan, León, Spain",640 53 67 36,https://kwalphysio.com/,,4.9,118,,"establishment, gym, health, point_of_interest",42.2903214,-5.5203938,,OPERATIONAL,,ChIJJ_Zb0Q8lOA0Rv0SR26NOJN4,León,Castilla y León,España,Sí,5,centro pilates · españa
ANDRÉ FARIA,🧘‍♀️ Centro de pilates,"Plaza Andrés de Prada, Local Comercial n° 4, 32300 O Barco, Ourense, Spain",637 54 95 37,https://andrefariatrainer.com/,,5,218,,"establishment, health, point_of_interest",42.4157318,-6.9850746,,OPERATIONAL,,ChIJXUtEQDCFMA0R44aj12M7pys,Zamora,Castilla y León,España,No,2,centro pilates · españa
FISIOreq,🧘‍♀️ Centro de yoga,"P.º del Hospital Militar, 36, 47006 Valladolid, Spain",669 92 11 74,http://www.fisioreq.com/,carlosfreire@fisioreq.com,4.9,143,,"establishment, gym, health, point_of_interest",41.6447911,-4.7355544,,OPERATIONAL,,ChIJ57K8205tRw0Ra08uSXKbTFg,Palencia,Castilla y León,España,No,1,centro pilates · españa
Centro Deportivo Sport is Medicine,🧘‍♀️ Centro de yoga,"C. Londres, 5, 47008 Valladolid, Spain",628 37 38 55,http://www.sportismedicine.es/,,4.8,290,,"establishment, gym, health, point_of_interest",41.616612,-4.7687908,,OPERATIONAL,,ChIJFS9jjh1tRw0RJ1ij_iWA3ZI,Palencia,Castilla y León,España,No,1,centro pilates · españa
Villa del Prado PHYSICAL THERAPY AND SCIENTIFIC OSTEOPATHY,🧘‍♀️ Centro de yoga,"C. del Monasterio de Santa María de Montserrat, 15, 47015 Valladolid, Spain",983 01 66 00,https://www.fisioterapiavilladelprado.es/,,4.8,136,,"establishment, gym, health, physiotherapist, point_of_interest",41.6455822,-4.7473976,,OPERATIONAL,,ChIJHTuKvkFtRw0R9OpkWJfmNqg,Valladolid,Castilla y León,España,No,2,centro pilates · españa
EQUÓN Fisioterapia & Salud,🧘‍♀️ Centro de yoga,"Pl. de San Nicolás, 9, 47003 Valladolid, Spain",660 30 44 26,https://www.equon.es/,,5,115,,"establishment, gym, health, point_of_interest",41.6593581,-4.7315762,,OPERATIONAL,,ChIJ25IerYJtRw0RUC7bhuj8Bmc,Valladolid,Castilla y León,España,No,2,centro pilates · españa
"Clínica FISAP Fisioterapia Avanzada, Suelo Pélvico y Pilates",🧘‍♀️ Centro de pilates,"C. General Almte., 7, 47003 Valladolid, Spain",691 10 70 05,http://www.clinicafisap.es/,,5,536,,"establishment, health, point_of_interest",41.6542634,-4.7277942,,OPERATIONAL,,ChIJTTTr0BYTRw0R4vV3QK_Jcms,Palencia,Castilla y León,España,No,1,centro pilates · españa
Energym Zamora Fitness Club S.L.,🧘‍♀️ Centro de yoga,"C. Traviesa, 7, 49003 Zamora, Spain",980 16 77 32,https://www.facebook.com/ENERGYM-FITNESS-ZAMORA-115716101799132/,,4.7,141,,"establishment, gym, health, point_of_interest",41.505132,-5.741958,,OPERATIONAL,,ChIJ0dlotjEeOQ0RHJJod0mgaqU,Zamora,Castilla y León,España,No,1,centro pilates · españa
Synergym Zamora University,🧘‍♀️ Centro de yoga,"C. Pablo Morillo, 23, 49013 Zamora, Spain",,https://synergym.es/zamora-universidad/,,4.7,803,,"establishment, gym, health, point_of_interest",41.5099962,-5.739979,,OPERATIONAL,,ChIJJWyVwdUfOQ0Rshnqym9t4Is,Zamora,Castilla y León,España,No,1,centro pilates · españa
INVICTUS TraininGym.,🧘‍♀️ Centro de yoga,"C. de Villalpando, 25, 49023 Zamora, Spain",,https://www.facebook.com/InvictusTrainingym/,,4.7,205,,"establishment, gym, health, point_of_interest",41.5128326,-5.7456984,,OPERATIONAL,,ChIJURacADweOQ0Rs6QkO71SFa0,Zamora,Castilla y León,España,No,1,centro pilates · españa
Zero | Entrenamiento y Fisioterapia,🧘‍♀️ Centro de pilates,"Av. Vía Roma, 36, 40003 Segovia, Spain",679 20 06 77,http://zerosegovia.com/,,4.9,106,,"establishment, health, point_of_interest",40.9536945,-4.108968,,OPERATIONAL,,ChIJm8kVxhw_QQ0R61emB8EYxzg,Toledo,Castilla-La Mancha,España,No,1,centro pilates · españa
ESPIRITU PILATES,🧘‍♀️ Centro de yoga,"C. las Flores, Nº 8, 28231 Las Rozas de Madrid, Madrid, Spain",669 66 21 44,http://www.espiritupilates.es/,,5,128,,"establishment, gym, health, point_of_interest",40.4906765,-3.8728267,,OPERATIONAL,,ChIJuWRJr32DQQ0R_t_5PLRD4I0,Madrid,Comunidad de Madrid,España,No,2,centro pilates · españa
Club Pilates Las Rozas,🧘‍♀️ Centro de yoga,"C. Bruselas, 22, 28232 Las Rozas de Madrid, Madrid, Spain",681 82 93 23,https://www.clubpilates.es/location/lasrozas,,4.5,100,,"establishment, gym, health, point_of_interest",40.5030462,-3.8931858,,OPERATIONAL,,ChIJ235H2pWDQQ0RaHQ13orXTvo,Madrid,Comunidad de Madrid,España,No,1,centro pilates · españa
Activa Pilates Moralzarzal,🧘‍♀️ Centro de yoga,"C. Lago Mayor, 1, 28411 Moralzarzal, Madrid, Spain",640 56 77 71,http://www.activamoralzarzal.com/,activapilatesmoralzarzal@gmail.com,5,183,,"establishment, gym, health, point_of_interest",40.6722636,-3.9722977,,OPERATIONAL,,ChIJr0xsVLpxQQ0RIXcyCNJolOY,Madrid,Comunidad de Madrid,España,No,1,centro pilates · españa
PILATES Center Vicky Timón,🧘‍♀️ Centro de yoga,"C. de las Vascongadas, 9, 28292 Galapagar, Madrid, Spain",661 63 09 99,http://www.pilatesvickytimon.com/,,5,132,,"establishment, gym, health, point_of_interest",40.6280202,-4.0268184,,OPERATIONAL,,ChIJLaehUmB0QQ0R9aOqjoeKtKI,Madrid,Comunidad de Madrid,España,No,1,centro pilates · españa
VALSAM fisioterapia,🧘‍♀️ Centro de yoga,"C. la Chorrera, 11, 28890 Loeches, Madrid, Spain",613 02 90 75,https://www.instagram.com/valsamfisioterapia/,,4.9,218,,"establishment, gym, health, physiotherapist, point_of_interest",40.3844885,-3.4086229,,OPERATIONAL,,ChIJsW0JCH9HQg0RuIePYrJ9Rr4,Madrid,Comunidad de Madrid,España,No,2,centro pilates · españa
"Beauty Center París: Peluquería, Estética, Masajes y Pilates",🧘‍♀️ Centro de yoga,"Avenida de París, Av. de Europa, Esquina, 28500 Arganda del Rey, Madrid, Spain",628 37 31 69,http://beautyparis.es/,,4.9,100,,"establishment, gym, hair_care, health, physiotherapist, point_of_interest",40.3009676,-3.4530122,,OPERATIONAL,,ChIJnRiH0qA_Qg0RUFdz4leH2Eo,Madrid,Comunidad de Madrid,España,No,2,centro pilates · españa
Estudio arete pilates,🧘‍♀️ Centro de yoga,"Calle del Acuerdo, 13, Centro, 28015 Madrid, Spain",643 62 02 84,https://linktr.ee/estudio_arete,,4.9,203,,"establishment, gym, health, point_of_interest",40.426933,-3.7082546,,OPERATIONAL,,ChIJg5vuhggpQg0RZ5KA2fSJLPs,Madrid,Comunidad de Madrid,España,No,2,centro pilates · españa
Pilates enunIMPULSO,🧘‍♀️ Centro de yoga,"C. de Jorge Juan, 112, Salamanca, 28028 Madrid, Spain",650 33 68 45,http://www.pilatesenunimpulso.com/,,4.9,119,,"establishment, gym, health, physiotherapist, point_of_interest",40.4227568,-3.666857,,OPERATIONAL,,ChIJOWG1KKUoQg0RKRsMtW6DtxM,Madrid,Comunidad de Madrid,España,No,2,centro pilates · españa
Fitness 2.0,🧘‍♀️ Centro de yoga,"C. Sor Valentina Mirón, 20, 10600 Plasencia, Cáceres, Spain",927 41 91 10,http://www.fitness2000.es/,,4.6,243,,"establishment, gym, health, point_of_interest",40.0319095,-6.0913617,,OPERATIONAL,,ChIJ98me1UkWPg0RhXG3DLQHul0,Cáceres,Extremadura,España,No,1,centro pilates · españa
Synergym Plasencia,🧘‍♀️ Centro de yoga,"Av. la Salle, 28, 10600 Plasencia, Cáceres, Spain",,https://synergym.es/plasencia/,,4.8,290,,"establishment, gym, health, point_of_interest",40.0329471,-6.0845342,,OPERATIONAL,,ChIJfbpWvmcXPg0RLwnCY4jvr2o,Cáceres,Extremadura,España,No,1,centro pilates · españa
Gym and Sports Center Lanefit,🧘‍♀️ Centro de yoga,"La llave, Av. de la Industria, 13, Naves 7, 8 y 9. Polígono, 19170 El Casar, Guadalajara, Spain",722 50 46 08,https://lanefit.es/,,4.7,353,,"establishment, gym, health, point_of_interest",40.7046242,-3.4194156,,OPERATIONAL,,ChIJ-dZrvSq2Qw0RGQfbtwQ36Ro,Guadalajara,Castilla-La Mancha,España,Sí,5,centro pilates · españa
FISIOCERCEDA,🧘‍♀️ Centro de yoga,"Carr. de Navacerrada, 13, 28412 Cerceda, Madrid, Spain",626 14 68 55,http://www.fisiocerceda.es/,,4.9,308,,"establishment, gym, health, physiotherapist, point_of_interest",40.6996541,-3.935951,,OPERATIONAL,,ChIJRSsBdVtwQQ0RZQ_2sBe9e2w,Madrid,Comunidad de Madrid,España,No,1,centro pilates · españa
23.FIT,🧘‍♀️ Centro de yoga,"C. Cerradilla, Nº 11, 47400 Medina del Campo, Valladolid, Spain",665 28 99 58,https://www.facebook.com/Alvaro.23.fit/,,4.7,105,,"establishment, gym, health, point_of_interest",41.3074187,-4.9175077,,OPERATIONAL,,ChIJq-0UYBpRRw0RbTV6TDDXOc4,Valladolid,Castilla y León,España,No,3,centro pilates · españa
FisioMove,🧘‍♀️ Centro de yoga,"C. Greco, 15, 37004 Salamanca, Spain",696 06 18 90,http://www.fisiomovesalamanca.com/,info@fisiomovesalamanca.com,5,126,,"establishment, gym, health, point_of_interest",40.9724621,-5.6524684,,OPERATIONAL,,ChIJsWaIXicnPw0REibmkVH-Mc0,Salamanca,Castilla y León,España,Sí,5,centro pilates · españa
Centro Especializado En Fisioterapia Santa Marta De Tormes,🧘‍♀️ Centro de yoga,"Av. Enrique de Sena, 7, 37900 Santa Marta de Tormes, Salamanca, Spain",923 13 31 01,http://www.fisioterapiasantamarta.com/,,4.9,218,,"establishment, gym, health, point_of_interest",40.9495286,-5.6316195,,OPERATIONAL,,ChIJHbHq5M4lPw0RPc9RY7USPGY,Salamanca,Castilla y León,España,Sí,5,centro pilates · españa
| Clínica Fisioterapia y suelo pélvico Salamanca | Julia Rodríguez,🧘‍♀️ Centro de yoga,"Camino de Salamanca, esquina con, C. Azorín, 19, 37193 Cabrerizos, Salamanca, Spain",616 54 37 48,https://fisioterapiajuliarodriguez.es/,,5,153,,"establishment, gym, health, physiotherapist, point_of_interest",40.9777294,-5.6114842,,OPERATIONAL,,ChIJ0dCTwtglPw0R-Q1gnwO3XE8,Salamanca,Castilla y León,España,Sí,5,centro pilates · españa
Gimnasio Kronos,🧘‍♀️ Centro de yoga,"C. Maestro Ávila, 4, 37002 Salamanca, Spain",923 27 10 25,https://www.gimnasiokronos.es/,,4.6,120,,"establishment, gym, health, point_of_interest",40.9655002,-5.6690048,,OPERATIONAL,,ChIJuVjMez4mPw0R07xIyXFn2Pw,Salamanca,Castilla y León,España,No,2,centro pilates · españa
María Varas Fisioterapia y Osteopatía,🧘‍♀️ Centro de pilates,"Calle de los Ovalle, 28, 37004 Salamanca, Spain",675 97 49 92,https://www.mariavarasfisioterapiayosteopatia.es/,,5,109,,"establishment, health, point_of_interest",40.971909,-5.6547116,,OPERATIONAL,,ChIJya5TAxgnPw0R8ydrN5KYb70,Salamanca,Castilla y León,España,Sí,5,centro pilates · españa
Sportland Gimnasio & Balneario Urbano,🧘‍♀️ Centro de yoga,"Calle Dr. Fleming, 3, 19001 Guadalajara, Spain",949 21 17 01,http://www.generacionsportland.com/,,4.5,230,,"establishment, gym, health, point_of_interest",40.6289291,-3.1657686,,OPERATIONAL,,ChIJqf3wq3erQw0RXu4MncFEoLw,Guadalajara,Castilla-La Mancha,España,Sí,5,centro pilates · españa
Physiotherapy Ruth Mancebo,🧘‍♀️ Centro de yoga,"Av. Bulevar del Alto Tajo, 32, 19005 Guadalajara, Spain",678 42 16 09,http://fisioterapiaruthmancebo.com/,,4.9,140,,"establishment, gym, health, point_of_interest",40.638035,-3.1454,,OPERATIONAL,,ChIJyaPuKa-rQw0R9udjMeXpbgc,Madrid,Comunidad de Madrid,España,No,1,centro pilates · españa
Synergym Guadalajara Las Cañas,🧘‍♀️ Centro de yoga,"Blvr. Clara Campoamor, 22, 19005 Guadalajara, Spain",,https://synergym.es/guadalajara-las-canas/,,4.5,633,,"establishment, gym, health, point_of_interest",40.6474376,-3.1534027,,OPERATIONAL,,ChIJNfNEZHerQw0RFCYUYW4ajq8,Madrid,Comunidad de Madrid,España,No,1,centro pilates · españa
Alea Fisioterapia Deportiva y Suelo Pélvico Guadalajara.,🧘‍♀️ Centro de pilates,"La Carrera, 57, 1ºa, 19001 Guadalajara, Spain",607 42 78 39,https://www.alea-fisioterapia.es/,,4.9,157,,"establishment, health, point_of_interest",40.6318671,-3.1616119,,OPERATIONAL,,ChIJSevoR_WrQw0RPZxTgDDg4xA,Guadalajara,Castilla-La Mancha,España,Sí,5,centro pilates · españa
Fisiofine Fisioterapia Guadalajara,🧘‍♀️ Centro de yoga,"C. de Rufino Blanco, 6, 19003 Guadalajara, Spain",949 22 20 90,https://fisiofine.com/,,4.9,279,,"establishment, gym, health, physiotherapist, point_of_interest",40.6271678,-3.1668144,,OPERATIONAL,,ChIJR6oVSnerQw0RIMmITQT6IAE,Madrid,Comunidad de Madrid,España,No,1,centro pilates · españa
Fisio&well,🧘‍♀️ Centro de pilates,"C. de María Pacheco, 8, 19002 Guadalajara, Spain",696 78 78 28,http://www.fisioandwell.com/,,5,195,,"establishment, health, point_of_interest",40.6299097,-3.1636545,,OPERATIONAL,,ChIJ5bhUU--rQw0Rb5tfH0rj4Gc,Guadalajara,Castilla-La Mancha,España,Sí,5,centro pilates · españa
Fitness Place Sport Center,🧘‍♀️ Centro de yoga,"C. Felipe Solano Antelo, 8, 19002 Guadalajara, Spain",949 21 20 51,https://www.facebook.com/Fitness-Place-Guadalajara-876801432344088/about/?entry_point=page_nav_about_item&tab=overview,,4.8,124,,"establishment, gym, health, point_of_interest",40.6228073,-3.1617243,,OPERATIONAL,,ChIJDQ5WDXKrQw0RN_fS6nk4EBk,Guadalajara,Castilla-La Mancha,España,No,3,centro pilates · españa
Jorge Garcia Personal Trainer,🧘‍♀️ Centro de yoga,"C. Zaragoza, 36, 19005 Guadalajara, Spain",646 88 32 76,https://www.jorgegarciapersonaltrainer.com/,,4.9,174,,"establishment, gym, health, point_of_interest",40.6366876,-3.1528496,,OPERATIONAL,,ChIJ55vTcJWrQw0RwRDKNshCtgg,Guadalajara,Castilla-La Mancha,España,Sí,4,centro pilates · españa
Physiotherapy Center Biosalud S L,🧘‍♀️ Centro de yoga,"C. Capitán Diego de Urbina, 3, 19002 Guadalajara, Spain",639 18 46 63,http://www.fisioterapiapeinado.com/,,4.9,111,,"establishment, gym, health, physiotherapist, point_of_interest",40.6270458,-3.1608637,,OPERATIONAL,,ChIJszB2h3OrQw0REJEVikOtGpI,Madrid,Comunidad de Madrid,España,No,1,centro pilates · españa
Olympic Fitness Zone,🧘‍♀️ Centro de yoga,"C. San Roque, 17, 19002 Guadalajara, Spain",,http://www.olympicfitnesszone.es/,info@olympicfitnesszone.es,4.8,200,,"establishment, gym, health, point_of_interest",40.6298857,-3.1604431,,OPERATIONAL,,ChIJM4bzM3SrQw0RE3xy0YiPXg0,Madrid,Comunidad de Madrid,España,No,1,centro pilates · españa
