Nombre,Categoría,Dirección,Teléfono,Web,Email,Valoración,Nº Reseñas,Nivel Precio,Tipos Google,Latitud,Longitud,Horarios,Estado,Google Maps,Place ID,Provincia,Región,País,Web válida (IA),Calidad (IA),Búsqueda
Flor de Lluna Teràpies,🪷 Ayurveda,"Carrer de Bailèn, 113, Eixample, 08009 Barcelona, Spain",644 70 94 03,http://www.maar-autocuraconscient.com/,usuario@dominio.com,5,64,,"establishment, health, point_of_interest",41.3976004,2.1694703,,OPERATIONAL,,ChIJS_jOTL29pBIRysn1JZy-xD0,Barcelona,Cataluña,España,No,1,ayurveda · españa
Centro de Terapia Natural Arq Nature,🪷 Ayurveda,"Carrer del Garraf, 6, 08184 Palau-solità i Plegamans, Barcelona, Spain",938 64 43 36,https://arqnature.com/,info@arqnature.com,5,16,,"establishment, health, point_of_interest",41.5813196,2.1817818,,OPERATIONAL,,ChIJOfQAd3_ApBIRiml_N7GL49w,Barcelona,Cataluña,España,No,1,ayurveda · españa
VADESALUD,🪷 Ayurveda,"Carrer Marina &, Carrer Tarragona, 2, 08390 Montgat, Barcelona, Spain",935 25 31 62,https://www.instagram.com/vadesalud.montgat,asociaciondemujeresmonteviejo@gmail.com,4.5,24,,"establishment, health, point_of_interest",41.4640964,2.2734125,,OPERATIONAL,,ChIJf5ii7kC6pBIRqbG2auRdyDg,Barcelona,Cataluña,España,No,1,ayurveda · españa
EQM,🪷 Ayurveda,"Calle de las Peñuelas, 38, Arganzuela, 28005 Madrid, Spain",677 77 97 32,http://www.eqm.es/,recepcion@eqm.es,4.7,123,,"establishment, health, point_of_interest",40.4014686,-3.7030984,,OPERATIONAL,,ChIJI_O5rsQoQg0Rak134YZjWiQ,Madrid,Comunidad de Madrid,España,No,1,ayurveda · españa
Masajes Sol i LLuna,🪷 Ayurveda,"C. de Garrigues, 3-5, piso 2 puerta C, Ciutat Vella, 46001 Valencia, Spain",658 32 46 91,https://www.masajesolilluna.com/,citas@masajesolilluna.com,5,532,,"establishment, health, point_of_interest",39.4706512,-0.3785064,,OPERATIONAL,,ChIJ0yu1eGlPYA0RWbrG4mK6F_E,Valencia,Comunidad Valenciana,España,No,1,ayurveda · españa
Ashvattha Quiromasaje,🪷 Ayurveda,"C. del Obispo Jaime Pérez, 15, PUERTA 9, Quatre Carreres, 46006 Valencia, Spain",613 40 12 28,http://ashvatthaquiromasaje.com/,ashvattha.quiromasaje@gmail.com,5,232,,"establishment, point_of_interest",39.4589299,-0.3659363,,OPERATIONAL,,ChIJ3RfwNd9PYA0RcOIF42_ODIQ,Valencia,Comunidad Valenciana,España,No,2,ayurveda · españa
Clínica Estética Integral Doshas,🪷 Ayurveda,"Av. del Regne de València, 26, L'Eixample, 46005 València, Valencia, Spain",686 28 57 17,https://doshas.es/,info@doshas.es,4.8,95,,"establishment, health, point_of_interest",39.4641182,-0.3707345,,OPERATIONAL,,ChIJCXfHf6hJYA0R3kbGjqGp7A4,Valencia,Comunidad Valenciana,España,No,2,ayurveda · españa
Katia Carini - Masaje | Ayurveda | Reiki,🪷 Ayurveda,"C/ de Ribera, 14, Ciutat Vella, 46002 València, Valencia, Spain",644 92 40 99,http://www.katiacarini.com/,ayuryogakate@gmail.com,5,217,,"establishment, health, point_of_interest",39.4679799,-0.3760419,,OPERATIONAL,,ChIJaU4f2fFJYA0R_CKhdI7C2gw,Valencia,Comunidad Valenciana,España,No,1,ayurveda · españa
Gobinde Yoga,🪷 Ayurveda,"C/ del Pintor Salvador Abril, 31, L'Eixample, 46005 València, Valencia, Spain",963 25 06 79,http://gobinde.com/,info@gobinde.com,5,72,,"establishment, gym, health, point_of_interest",39.461908,-0.36946,,OPERATIONAL,,ChIJazNuTcpIYA0ROA_a8Vh8fK8,Valencia,Comunidad Valenciana,España,No,2,ayurveda · españa
Wellnes Avenida,🪷 Ayurveda,"Av. del Cid, 94, L'Olivereta, 46018 València, Valencia, Spain",963 26 08 60,http://www.wellnessavenida.com/,wellnes.avenida.info@gmail.com,4.6,256,,"establishment, health, point_of_interest, spa",39.4694157,-0.4016211,,OPERATIONAL,,ChIJBwGAxG1PYA0R-mSnV3Bq9j0,Valencia,Comunidad Valenciana,España,No,1,ayurveda · españa
Yoga with Joy : Yoga & Masajes,🪷 Ayurveda,"Carrer de Borrull, 13, Extramurs, 46008 València, Valencia, Spain",603 73 14 12,http://yogawithjoy.fr/,hibiscus@qodeinteractive.com,5,78,,"establishment, point_of_interest",39.4745453,-0.3851541,,OPERATIONAL,,ChIJWTnpbExPYA0RY216Wrd5G8Q,Valencia,Comunidad Valenciana,España,No,1,ayurveda · españa
Ro-Ki Massages Valencia,🪷 Ayurveda,"Calle Del, Carrer del Riu Odiel, 30, Poblados Marítimos, 46024 València, Valencia, Spain",655 25 04 02,http://www.ro-ki.net/,info@ro-ki.net,5,159,,"establishment, health, point_of_interest, school",39.4481781,-0.332554,,OPERATIONAL,,ChIJ81tdjphJYA0R9tnUf1A_g_0,Valencia,Comunidad Valenciana,España,No,2,ayurveda · españa
Ayurveda Botanic I Guilu Cabalé,🪷 Ayurveda,"C/ del Túria, 73, Extramurs, 46008 València, Valencia, Spain",659 09 25 78,https://www.ayurvedabotanic.com/,guilucabale@gmail.com,5,23,,"establishment, health, point_of_interest",39.4781901,-0.385506,,OPERATIONAL,,ChIJwbTnvgNPYA0RlpNh7PL70J0,Valencia,Comunidad Valenciana,España,No,1,ayurveda · españa
"Vedic healings (Ayurveda, Panchakarma & Tantra)",🪷 Ayurveda,"Carrer de Lanzarote, 6, Poblados Marítimos, 46011 València, Valencia, Spain",663 93 88 27,https://www.vedichealings.com/,infovedichealingsespana@gmail.com,5,39,,"establishment, health, point_of_interest, spa",39.4809566,-0.3286296,,OPERATIONAL,,ChIJJ7RqhZ1JYA0Rm7KW3wdd-TM,Valencia,Comunidad Valenciana,España,No,1,ayurveda · españa
Espai Món Sà,🪷 Ayurveda,"Avinguda Santa Maria del Puig, 13, 46210 Picanya, Valencia, Spain",607 37 64 61,http://www.monsavalencia.org/,espai@monsavalencia.org,5,46,,"establishment, gym, health, point_of_interest",39.4331622,-0.4336792,,OPERATIONAL,,ChIJie-8MjhOYA0RWPwHYGg8ioU,Valencia,Comunidad Valenciana,España,No,2,ayurveda · españa
Ayurveda Shobha Lad,🪷 Ayurveda,"C. San Vicente Mártir, 98, pta 1, Extramurs, 46007 Valencia, Spain",647 00 98 99,http://www.shobhalad.com/,sandersbrew@hotmail.com,4.7,89,,"establishment, health, point_of_interest",39.4675374,-0.380479,,OPERATIONAL,,ChIJw9bsnklPYA0Reh8FWmbVkCQ,Valencia,Comunidad Valenciana,España,No,1,ayurveda · españa
Sukha Masajes,🪷 Ayurveda,"Calle Dr. Nacher, 7, 46370 Chiva, Valencia, Spain",676 78 44 99,https://www.sukhamasajes.com/,cris.guzmantorres7@gmail.com,5,91,,"establishment, point_of_interest",39.4723539,-0.7173763,,OPERATIONAL,,ChIJWzT9HiZJYA0RNyL05INUpAE,Valencia,Comunidad Valenciana,España,No,1,ayurveda · españa
Massage Oliva - in studio or home visits | Masaje en gabinete o a domicilio,🪷 Ayurveda,"Av. Matisse, 11, adosado 16, 46780 Oliva, Valencia, Spain",632 92 24 04,https://ibizamassages.com/,info@ibizamassages.com,5,18,,"establishment, point_of_interest, spa",38.8880872,-0.054134,,OPERATIONAL,,ChIJQxYHlynjYQ0RJ87O3f51KJo,Valencia,Comunidad Valenciana,España,No,1,ayurveda · españa
DHARA RETIRO YOGA & AYURVEDA,🪷 Ayurveda,"Carrer Almàssera, 30, 03787 Benirrama, Alicante, Spain",637 42 43 19,https://dharaholisticare.com/,info@dharaholisticare.com,5,18,,"establishment, gym, health, point_of_interest",38.8307093,-0.1970343,,OPERATIONAL,,ChIJh9f4mZnvYQ0RoFwa7_2M_FI,Alicante,Comunidad Valenciana,España,No,1,ayurveda · españa
Encuentra tu equilibrio by Eva Salmerón | Terapia emocional LNT® I Masajes I Neurodanza,🪷 Ayurveda,"Parque, tienda La casa verda, Pl. Mestre Ferrero, 4, 46870 Ontinyent, Valencia, Spain",610 47 47 97,http://byevasalmeron.com/,equilibriobyeva@gmail.com,5,32,,"establishment, health, point_of_interest, spa",38.8226106,-0.5994531,,OPERATIONAL,,ChIJAyuGiP53YQ0R_3bwBpOQ6kY,Alicante,Comunidad Valenciana,España,No,1,ayurveda · españa
iTRAINING - ALICANTE PAU 1 - YOGA & BARRE,🪷 Ayurveda,"C. Médico José Maroto, 03005 Alicante (Alacant), Alicante, Spain",613 82 57 77,http://itraining.es/,info@grupoitraining.com,5,37,,"establishment, gym, health, point_of_interest",38.3531038,-0.513784,,OPERATIONAL,,ChIJI_ULX6g3Yg0RdW7Wk3uSim8,Alicante,Comunidad Valenciana,España,No,1,ayurveda · españa
Yoga Estudio Sirsásana,🪷 Ayurveda,"Carrer Riu Segura 30, Calle La Paz, 48, 03320 La Torre del Pla, Alicante, Spain",646 24 38 54,http://www.yogasirsasana.com/,estudio@yogasirsasana.com,5,45,,"establishment, gym, health, point_of_interest",38.294407,-0.5898493,,OPERATIONAL,,ChIJ13w-fLhKYg0ReiGDbFylmiI,Alicante,Comunidad Valenciana,España,No,1,ayurveda · españa
Millennium Thai Massage,🪷 Ayurveda,"Levante beach, Av. de Madrid, 1, 03503 Benidorm, Alicante, Spain",692 47 52 39,http://millenniumthaimassage.com/,info@millenniumthaimassage.com,5,681,,"establishment, health, point_of_interest, spa",38.5360664,-0.119972,,OPERATIONAL,,ChIJ9bwv1gwFYg0RoB_4LGN1xsY,Alicante,Comunidad Valenciana,España,No,1,ayurveda · españa
Health Forest Worldwide,🪷 Ayurveda,"C. Constitución, 4, Bajo L2, 03590 Altea, Alicante, Spain",691 07 58 64,https://healthforest.es/,healthforestspain@gmail.com,5,45,,"establishment, health, point_of_interest",38.6012795,-0.0468853,,OPERATIONAL,,ChIJkSupeWABYg0Ra6KwrNjh37o,Alicante,Comunidad Valenciana,España,No,1,ayurveda · españa
Espasana Natural,🪷 Ayurveda,"C. de Lepanto, 38, 03400 Villena, Alicante, Spain",966 15 32 04,https://www.espasananatural.com/,espasananatural8@gmail.com,4.6,22,,"establishment, health, point_of_interest",38.6390741,-0.8691543,,OPERATIONAL,,ChIJSXhJMp3fYw0RnAO9oarja28,Alicante,Comunidad Valenciana,España,No,1,ayurveda · españa
El Templo by Zen Estétic,🪷 Ayurveda,"Av. Goleta, 25, Local 1, 03540 Alicante (Alacant), Alicante, Spain",683 41 65 60,https://eltemplobyzenestetic.es/el-templo/,centro@eltemplobyzenestetic.es,4.9,173,,"establishment, gym, health, place_of_worship, point_of_interest",38.3628319,-0.4212009,,OPERATIONAL,,ChIJOximrjE5Yg0RGUY4mssVd_8,Alicante,Comunidad Valenciana,España,No,1,ayurveda · españa
Kundalini Yoga. Restaurativo. Meditación y Gong.Movimiento Sentido ( Estiramientos y Movilidad ),🪷 Ayurveda,"C. del Notario Salvador Montesinos Bonet, 21, 03550 Sant Joan d'Alacant, Alicante, Spain",672 99 33 51,http://www.movimientosentido.es/,info@movimientosentido.es,5,44,,"establishment, point_of_interest",38.3967112,-0.4317581,,OPERATIONAL,,ChIJVfzR3mU5Yg0RwF1Lrd_XHTQ,Alicante,Comunidad Valenciana,España,No,1,ayurveda · españa
Miriam Alchemy,🧖‍♀️ Spa,"C. Pere Joan Perpinyà, 03204 Elx, Alicante, Spain",661 20 77 69,https://www.miriamalchemy.com/,info@miriamalchemy.com,5,142,,"establishment, health, point_of_interest, spa",38.2585125,-0.7039675,,OPERATIONAL,,ChIJcUlAk6e3Yw0R3t9dEEQQjLU,Alicante,Comunidad Valenciana,España,No,1,ayurveda · españa
Dayananda Yoga,🪷 Ayurveda,"C. Castaños, 37, 5 g, 03001 Alicante (Alacant), Alicante, Spain",682 75 66 33,https://dayananda.es/,info@dayananda.es,4.9,33,,"establishment, gym, health, point_of_interest",38.3466713,-0.486062,,OPERATIONAL,,ChIJa9kQiAI3Yg0RcQB3h6Psyro,Alicante,Comunidad Valenciana,España,No,1,ayurveda · españa
Victoria Jourdan Massages,🧖‍♀️ Spa,"5 Rue Gaston Larré, 64200 Biarritz, France",06 17 51 88 76,https://www.victoriajourdanmassagesbienetre.com/,jourdanvictoria@gmail.com,5,57,,"establishment, point_of_interest, spa",43.4815492,-1.5655981,,OPERATIONAL,,ChIJc-z-dAZrUQ0Rf155iWde3a0,Pirineos Atlánticos,,Francia,No,1,ayurveda · españa
Yoga & Ayurvéda Biarritz,🪷 Ayurveda,"1bis Av. du Parc d'Hiver, 64200 Biarritz, France",07 77 69 34 19,https://www.biarritz-yoga.fr/,bhima8001@gmail.com,5,21,,"establishment, food, gym, health, point_of_interest",43.4805581,-1.5407142,,OPERATIONAL,,ChIJ_-4lQy9rUQ0RDKYCASyD5FE,Pirineos Atlánticos,,Francia,No,1,ayurveda · españa
ANANDA Centre de Soins Ayurvédiques,🪷 Ayurveda,"Plage de Socoa, 103 Rte de la Corniche, 64122 Urrugne, France",05 59 41 22 64,https://ananda-ayurveda.fr/,info@email.com,5,142,,"establishment, health, point_of_interest",43.3907807,-1.6861393,,OPERATIONAL,,ChIJaY2nqTgVUQ0R5AypwQyT6xI,Gipuzkoa,País Vasco,España,No,1,ayurveda · españa
"Samaveda; Ayurveda, Masajes, Alimentación, Yoga",🪷 Ayurveda,"Calle Lope de Irigoyen, 15 Entrada por Lucas de Berroa, a la altura de portal 18, 20301 Irun, Guipúzcoa, Spain",606 65 91 73,http://www.samaveda.es/,samavedacentro@gmail.com,5,32,,"establishment, gym, health, point_of_interest",43.3426426,-1.7970784,,OPERATIONAL,,ChIJ4zDZNYSpUQ0RzNcM0Enj0Ak,Gipuzkoa,País Vasco,España,No,1,ayurveda · españa
Alice MASSAGE & YOGA - BAYONNE,🪷 Ayurveda,"15 Rue des Pontrits étage 1 - appartement 2, 64600 Anglet, France",06 28 11 81 91,https://alicegermain.fr/,alicem.germain@gmail.com,5,33,,"establishment, point_of_interest, spa",43.4919862,-1.5309085,,OPERATIONAL,,ChIJe7FTI61rUQ0Rv2vhz4xHDnI,Pirineos Atlánticos,,Francia,No,1,ayurveda · españa
Ayurvéda - Nour Lucie Joao,🪷 Ayurveda,"5 Chem. de Lantegia, 64122 Urrugne, France",06 95 45 47 30,https://www.ayurveda-auquotidien.com/,lucie.joao.ayurveda@gmail.com,4.9,50,,"establishment, health, point_of_interest",43.3479976,-1.6890155,,OPERATIONAL,,ChIJCUzG_ZVBUQ0Ru6650is4hOE,Gipuzkoa,País Vasco,España,No,1,ayurveda · españa
"Masaje y Osteopatía, Kalyaana",🪷 Ayurveda,"C. Belgrado, 16, b, 28232 Las Rozas de Madrid, Madrid, Spain",681 90 69 62,https://kalyaana.es/,info@kalyaana.es,5,20,,"establishment, health, point_of_interest",40.5049246,-3.8921387,,OPERATIONAL,,ChIJhZDoKHiJQQ0R4NvQJsr_bJo,Madrid,Comunidad de Madrid,España,No,1,ayurveda · españa
Yo Me Cuido,🪷 Ayurveda,"Calle de las Delicias, 9, Arganzuela, 28045 Madrid, Spain",914 67 32 87,https://www.yo-mecuido.es/,masajesyomecuido@gmail.com,4.8,84,,"establishment, health, point_of_interest",40.4042682,-3.694603,,OPERATIONAL,,ChIJhynQyS8mQg0R33eXAiYB1Lc,Madrid,Comunidad de Madrid,España,No,2,ayurveda · españa
Quiere T Sport,🪷 Ayurveda,"Pl. Conselleiro Fdo, Av. General Salgado, 16, 27560 Monterroso, Lugo, Spain",639 52 60 84,https://sites.google.com/view/quiere-t-sport/p%C3%A1gina-principal,contacto@speedstacks.es,5,40,,"establishment, health, point_of_interest",42.7921591,-7.8366762,,OPERATIONAL,,ChIJz99VIijXLw0RgnzEFfGtZWY,Ourense,Galicia,España,No,2,ayurveda · españa
PRANA YOGA Y MASAJE,🪷 Ayurveda,"Rúa Castelao, 5, 1ºC, 36001 Pontevedra, Spain",616 94 88 21,https://pranayogaymasaje.es/,info@pranayogaymasaje.es,4.9,32,,"establishment, gym, health, point_of_interest",42.4299943,-8.6422812,,OPERATIONAL,,ChIJr8y5qKxxLw0RynyKinMNXXc,Pontevedra,Galicia,España,No,1,ayurveda · españa
Bio Terapias Eva Varela,🪷 Ayurveda,"Av. de Peinador, 3, Bajo, Cabral, 36416, Pontevedra, Spain",661 93 55 52,https://www.bioterapiasevavarela.es/,bioterapiasevavarela@gmail.com,4.6,17,,"establishment, health, point_of_interest",42.2088729,-8.6548727,,OPERATIONAL,,ChIJfVcKTuGHJQ0R8NEqLTK7b1E,Pontevedra,Galicia,España,No,2,ayurveda · españa
"Aruna Vigo - Reflexologia, Craneosacral y Meditación",🪷 Ayurveda,"Rúa Colón, 9, Santiago de Vigo, 36201 Vigo, Pontevedra, Spain",690 93 65 55,http://www.datelobueno.com/,datelobueno@gmail.com,5,42,,"establishment, health, point_of_interest, spa",42.2385203,-8.720245,,OPERATIONAL,,ChIJCSfV-GliLw0RRvfo-n3G4Y4,Pontevedra,Galicia,España,No,2,ayurveda · españa
Spa urbano Serenità,🪷 Ayurveda,"Av. das Camelias, 89, bajo, 36211 Vigo, Pontevedra, Spain",986 41 25 00,https://serenitaurbanspa.com/,info@serenitaurbanspa.com,4.9,235,,"establishment, point_of_interest, spa",42.2276713,-8.7299602,,OPERATIONAL,,ChIJ5X9NjF1jLw0RDVUvAkCQBdY,Pontevedra,Galicia,España,No,2,ayurveda · españa
YOGA EN ALMENDRALEJO LA SALITA DE YOGA - MARISA ALVAREZ,🪷 Ayurveda,"C. Costa Rica, Nº3, 06200 Almendralejo, Badajoz, Spain",616 72 28 44,http://www.extremaduradavida.com/item/centrodeyogaanandasamadhi/,farfi40@hotmail.com,4.9,31,,"establishment, gym, health, point_of_interest",38.680591,-6.4116266,,CLOSED_TEMPORARILY,,ChIJtQsqPninFg0ReysfR-qXYKk,Badajoz,Extremadura,España,No,1,ayurveda · españa
Fanny Ros Ayurveda,🪷 Ayurveda,"20 bis rue Ibn Sinaï dit Avicenne, 663330 Cabestany, 66000 Perpignan, France",06 03 33 05 52,https://fannyros-yoga.com/massage-ayurvedique/,fannyros.yoga@gmail.com,5,20,,"establishment, point_of_interest, spa",42.6916448,2.9386655,,OPERATIONAL,,ChIJY7oTeKGXkokRfVTv1xOMjeM,Girona,Cataluña,España,No,2,ayurveda · españa
Izabel Yogizayurveda,🪷 Ayurveda,"5 Rue Horace Chauvet, 66100 Perpignan, France",07 56 99 78 65,https://www.yogi-z-ayurveda-aroma-reiki.fr/,yogizayurveda@gmail.com,5,140,,"establishment, health, point_of_interest, spa",42.689255,2.9045943,,OPERATIONAL,,ChIJNxR1TzlvsBIRvElE3DGlyWM,Girona,Cataluña,España,No,2,ayurveda · españa
Isabelle Moulin - Psycho-énergéticienne - Perpignan,🪷 Ayurveda,"14 Rue Louis David, 66000 Perpignan, France",06 86 40 13 72,http://www.isabellemoulin.com/,contact@isabellemoulin.com,4.9,59,,"establishment, health, point_of_interest",42.6972172,2.9078915,,OPERATIONAL,,ChIJ6RvASF1vsBIRSowzX8NaGiQ,Girona,Cataluña,España,No,2,ayurveda · españa
Fanny Ros yoga,🪷 Ayurveda,"20 Rue Ibn Sinaï dit Avicenne, 66330 Cabestany, France",06 03 33 05 52,https://fannyros-yoga.com/,fannyros.yoga@gmail.com,5,85,,"establishment, point_of_interest",42.6916448,2.9386655,,OPERATIONAL,,ChIJ3zZK_bpvsBIROa0LGRbOJys,Girona,Cataluña,España,No,2,ayurveda · españa
Ekyoga France - Rituel Massage Abhyanga Ayurvedic Pour Femmes À Cheval - Equicoaching - Coaching Business-,🪷 Ayurveda,"22 Av. Armand Lanoux, 66750 Saint-Cyprien, France",06 50 61 07 57,https://www.ekyogafrance.com/,utilisateur@domaine.com,5,34,,"establishment, gym, health, point_of_interest",42.6063719,3.0402995,,OPERATIONAL,,ChIJYXS5JNPnZIMRNkUJQCDWu5M,Girona,Cataluña,España,No,2,ayurveda · españa
Paisible Evasion,🪷 Ayurveda,"1 Av. de la République, 66650 Banyuls-sur-Mer, France",04 30 19 77 04,http://paisible-evasion.fr/,contact@paisible-evasion.fr,5,75,,"establishment, point_of_interest, spa",42.4832754,3.1290592,,OPERATIONAL,,ChIJFyU7hKR_uhIRKrWyocHOnsQ,Girona,Cataluña,España,No,2,ayurveda · españa
Fleur De Lumière,🪷 Ayurveda,"Cabra Salada Alta, Lieu dit, 66170 Millas, France",06 19 98 28 70,https://www.fleurdelumiere.com/,delphineoceane@yahoo.fr,5,21,,"establishment, health, point_of_interest",42.7145653,2.6899668,,OPERATIONAL,,ChIJAdcd8cLDsxIRRAINNgPDAaE,Girona,Cataluña,España,No,2,ayurveda · españa
Abbyveda Massages ô féminin,🪷 Ayurveda,"3 bis Av. du Général Leclerc, 66200 Elne, France",07 66 38 10 47,http://abbyveda.com/,abbyvedamassages@gmail.com,5,53,,"establishment, point_of_interest, spa",42.6009392,2.9702621,,OPERATIONAL,,ChIJt8n6h75vsBIRCmSjMIKYKnA,Girona,Cataluña,España,No,2,ayurveda · españa
Centre Béa - Massages et Ayurvéda,🪷 Ayurveda,"4 Rue Augustin Thierry, 66000 Perpignan, France",06 49 95 21 40,http://centrebea.fr/,centrebea@gmail.com,4.9,174,,"establishment, point_of_interest, spa, travel_agency",42.6961128,2.8875893,,OPERATIONAL,,ChIJeQ1tSK1vsBIRn8mAwtIs8HQ,Girona,Cataluña,España,No,2,ayurveda · españa
Naturopathie & Massages_Rébecca Morael,🧖‍♀️ Spa,"4 Rue Simon Bonafos, 66600 Rivesaltes, France",06 32 30 07 75,http://rebeccamorael.com/,naturopathie@rebeccamorael.com,4.9,33,,"establishment, health, point_of_interest, spa",42.7684078,2.8698359,,OPERATIONAL,,ChIJEZIZWJlpsBIR_LSJ7IUBm84,Girona,Cataluña,España,No,1,ayurveda · españa
Carole Martinez Massage Ayurvedic &Yoga. Perpignan 66000 Et Alentours,🪷 Ayurveda,"Espace Santé Chrysalide, 2 Rue Jordi Carbonell I Tries, 66000 Perpignan, France",07 67 39 10 77,http://massageyoga.fr/,carole@massageyoga.fr,5,19,,"establishment, point_of_interest, spa",42.700474,2.9439156,,OPERATIONAL,,ChIJEa1RocBlsBIRcXK5GkiphsE,Girona,Cataluña,España,No,2,ayurveda · españa
Jayna Thérapeute Ayurvedique,🪷 Ayurveda,"Av. mère Teresa, 66200 Elne, France",07 87 28 32 77,https://jayna-ayurveda.com/,contact@jayna-ayurveda.com,5,21,,"establishment, health, point_of_interest",42.61039,2.9684549,,OPERATIONAL,,ChIJZXQ395qEHIERW8RhDQTzns0,Girona,Cataluña,España,No,2,ayurveda · españa
Les mains de Sarah,🪷 Ayurveda,"12 Carrer de la Coma, 66130 Bouleternère, France",06 51 27 40 07,https://www.massageslesmainsdesarah.fr/,lesmainsdesarah@gmail.com,5,18,,"establishment, point_of_interest, spa",42.648248,2.586706,,OPERATIONAL,,ChIJRfwktP8FsBIRqAzqsCoR-NA,Pyrénées-Orientales,,Francia,No,1,ayurveda · españa
Illa Harmonia,🪷 Ayurveda,"Carrer Prat de la Creu, 93, 1r 8a, AD500 Andorra la Vella, Andorra",626 625,https://centro-illa-harmonia.my.canva.site/,illa.harmonia@gmail.com,5,19,,"establishment, gym, health, point_of_interest",42.5055706,1.5199174,,OPERATIONAL,,ChIJt-FZ92n1pRIReItO-Az7L34,Andorra,,Andorra,No,1,ayurveda · españa
